model_name,blocks,heads,hidden_size,final_train_loss,final_val_loss,sequence_accuracy,bleu_4,training_time_sec,parameters,model_size_mb
B1_H2_D128,1,2,128,4.489002772739956,4.977238893508911,0.0,0.04750751366216802,0.5327451229095459,837606,3.1952133178710938
B1_H4_D128,1,4,128,4.66266781943185,5.121969938278198,0.0,0.043705145517481093,0.41236400604248047,837606,3.1952133178710938
B2_H2_D128,2,2,128,4.546455451420376,4.941840648651123,0.0,0.0436690498414577,0.6802072525024414,1300454,4.960838317871094
B2_H4_D128,2,4,128,4.687746184212821,5.1773176193237305,0.0,0.040869846736962916,0.7023084163665771,1300454,4.960838317871094
B4_H2_D128,4,2,128,5.159042698996408,5.4071338176727295,0.0,0.029993979760224134,1.2007343769073486,2226150,8.492088317871094
B4_H4_D128,4,4,128,5.152977534702846,5.384454250335693,0.0,0.03239078684010661,1.2418484687805176,2226150,8.492088317871094
B2_H2_D64,2,2,64,5.4081427710396905,5.642340660095215,0.0,0.00023186948086781329,0.6896984577178955,421350,1.6073226928710938
B2_H4_D256,2,4,256,3.725667715072632,4.588394403457642,0.0,0.044776034471015226,0.7110247611999512,4434918,16.917869567871094
