model,sequence_length,final_train_loss,final_val_loss,final_val_accuracy,training_time_sec,parameters,model_size_mb,approx_complexity
Transformer,10,0.7273238172133764,0.7490616043408712,76.16352201257861,11.09333610534668,409389,1.5616950988769531,353280
Transformer,20,0.4043960005044937,0.3884527822335561,87.32631578947368,11.098984241485596,410669,1.5665779113769531,757760
Transformer,30,0.3004991926252842,0.254067662358284,91.71952078928823,10.876813888549805,411949,1.5714607238769531,1213440
